 Lammps data file for nanotube
 
        9216 atoms
           1 atom types
 
  -33.66221       67.32442     xlo xhi
  -26.75140       60.75663     ylo yhi
  -80.00000       80.00000     zlo zhi
 
  Atoms
 
  671    1 -23.064 -17.408   4.727
  672    1 -22.074 -18.398   4.727
  673    1 -21.409 -18.613   3.501
  674    1 -20.168 -19.299   3.498
  675    1 -19.656 -19.793   4.727
  676    1 -18.303 -20.155   4.727
  677    1 -17.529 -20.157   3.514
  678    1 -16.141 -20.187   3.511
  679    1 -15.512 -20.155   4.727
  680    1 -14.159 -19.793   4.727
  681    1 -13.466 -19.557   3.611
  682    1 -12.280 -18.916   3.601
  683    1 -11.742 -18.398   4.727
  684    1 -10.752 -17.408   4.727
  685    1 -10.415 -16.856   3.516
  686    1  -9.772 -15.632   3.514
  687    1  -9.356 -14.990   4.727
  688    1  -8.993 -13.638   4.727
  689    1  -9.194 -12.950   3.481
  690    1  -9.158 -11.540   3.492
  691    1  -8.993 -10.848   4.727
  692    1  -9.356  -9.494   4.727
  693    1  -9.767  -8.859   3.505
  694    1 -10.441  -7.647   3.522
  695    1 -10.752  -7.078   4.727
  696    1 -11.742  -6.088   4.727
  697    1 -12.292  -5.590   3.614
  698    1 -13.460  -4.943   3.616
  699    1 -14.159  -4.692   4.727
  700    1 -15.512  -4.330   4.727
  701    1 -16.149  -4.305   3.529
  702    1 -17.549  -4.382   3.520
  703    1 -18.303  -4.330   4.727
  704    1 -19.656  -4.693   4.727
  705    1 -20.136  -5.262   3.489
  706    1 -21.387  -5.899   3.488
  707    1 -22.074  -6.088   4.727
  708    1 -23.064  -7.078   4.727
  709    1 -23.424  -7.738   3.495
