 Lammps data file for nanotube
 
        2745 atoms
           1 atom types
 
  -33.66221       67.32442     xlo xhi
  -29.16934       58.33868     ylo yhi
  -80.00000       80.00000     zlo zhi
 
  Atoms
 
  599    1  -4.422  21.685   0.000
  600    1  -3.026  21.685   0.000
  601    1  -2.328  22.894   0.000
  602    1  -0.932  22.894   0.000
  603    1  -4.422  24.103   0.000
  604    1  -3.026  24.103   0.000
  605    1  -2.328  25.312   0.000
  606    1  -0.932  25.312   0.000
  607    1  -4.422  26.521   0.000
  608    1  -3.026  26.521   0.000
  609    1  -2.328  27.730   0.000
  610    1  -0.932  27.730   0.000
  611    1 -33.738  29.093   0.000
  612    1 -32.342  29.093   0.000
  613    1 -31.644  30.302   0.000
  614    1 -30.248  30.302   0.000
  615    1 -33.738  31.511   0.000
  616    1 -32.342  31.511   0.000
  617    1 -31.644  32.720   0.000
  618    1 -30.248  32.720   0.000
  619    1 -33.738  33.929   0.000
  620    1 -32.342  33.929   0.000
  621    1 -31.644  35.138   0.000
  622    1 -30.248  35.138   0.000
  623    1 -33.738  36.347   0.000
  624    1 -32.342  36.347   0.000
  625    1 -31.644  37.556   0.000
  626    1 -30.248  37.556   0.000
  627    1 -33.738  38.765   0.000
  628    1 -32.342  38.765   0.000
  629    1 -31.644  39.974   0.000
  630    1 -30.248  39.974   0.000
  631    1 -33.738  41.183   0.000
  632    1 -32.342  41.183   0.000
  633    1 -31.644  42.392   0.000
  634    1 -30.248  42.392   0.000
  635    1 -33.738  43.601   0.000
  636    1 -32.342  43.601   0.000
  637    1 -31.644  44.810   0.000
  638    1 -30.248  44.810   0.000
  639    1 -33.738  46.019   0.000
  640    1 -32.342  46.019   0.000
  641    1 -31.644  47.228   0.000
  642    1 -30.248  47.228   0.000
  643    1 -33.738  48.437   0.000
  644    1 -32.342  48.437   0.000
  645    1 -31.644  49.646   0.000
  646    1 -30.248  49.646   0.000
  647    1 -33.738  50.855   0.000
  648    1 -32.342  50.855   0.000
  649    1 -31.644  52.064   0.000
  650    1 -30.248  52.064   0.000
  651    1 -33.738  53.273   0.000
  652    1 -32.342  53.273   0.000
  653    1 -31.644  54.482   0.000
  654    1 -30.248  54.482   0.000
  655    1 -33.738  55.690   0.000
  656    1 -32.342  55.690   0.000
  657    1 -31.644  56.899   0.000
  658    1 -30.248  56.899   0.000
  659    1 -29.550  29.093   0.000
  660    1 -28.154  29.093   0.000
  661    1 -27.456  30.302   0.000
  662    1 -26.060  30.302   0.000
  663    1 -29.550  31.511   0.000
  664    1 -28.154  31.511   0.000
  665    1 -27.456  32.720   0.000
